가아, 71, 168
아하, 86, 185
라라, 91, 173
라자, 86, 192
하라, 66, 180
가마, 88, 186
사바, 93, 198
타나, 62, 141
차자, 56, 164
차가, 98, 172
차아, 89, 153
아자, 93, 154
사나, 70, 159
사바, 76, 165
파나, 86, 159
가가, 46, 198
다다, 83, 175
하라, 61, 193
차타, 88, 195
마하, 67, 144
라타, 74, 176
나카, 75, 184
아다, 46, 185
가자, 76, 160
하바, 59, 177
사라, 84, 194
다바, 82, 174
마바, 41, 194
나바, 70, 179
아마, 87, 190
라차, 49, 177
차카, 50, 167
차가, 86, 140
아자, 81, 182
가차, 41, 180
파사, 90, 179
하타, 76, 188
라아, 68, 181
타다, 97, 157
나라, 56, 152
마다, 96, 164
마바, 68, 162
자나, 42, 193
나카, 55, 149
카사, 65, 143
자사, 84, 175
아바, 42, 191
카나, 46, 190
차다, 82, 181
바나, 62, 173
라나, 47, 192
아파, 98, 183
하파, 60, 196
바차, 74, 160
카하, 89, 153
다마, 89, 151
사카, 61, 183
타하, 49, 158
아자, 52, 178
하바, 86, 182
가자, 82, 149
마타, 69, 158
가차, 71, 153
하나, 60, 173
아사, 68, 188
가자, 81, 154
가라, 75, 163
나카, 88, 158
아자, 77, 152
라파, 40, 166
하사, 91, 149
파타, 43, 188
자카, 57, 180
타라, 66, 197
하파, 75, 181
마파, 86, 199
자나, 96, 184
다타, 98, 165
바아, 69, 187
마마, 92, 161
다다, 53, 189
나바, 64, 157
다파, 91, 174
라라, 71, 184
가바, 47, 176
다아, 94, 192
타마, 54, 188
라타, 44, 175
바자, 53, 149
자마, 86, 179
자나, 67, 194
파타, 89, 179
하가, 74, 141
바타, 76, 183
다사, 61, 181
라다, 81, 143
나아, 87, 166
바자, 96, 180
차차, 96, 141
타파, 43, 141
타차, 52, 197
다타, 98, 194
사가, 90, 168
카하, 94, 176
타마, 95, 174
사마, 73, 147
자타, 83, 185
아카, 64, 150
아아, 73, 158
자사, 41, 158
카카, 91, 144
사차, 71, 177
사아, 47, 162
가바, 79, 154
카가, 57, 143
하파, 88, 146
카타, 80, 164
마가, 42, 175
